timestamp,open,high,low,close,volume
2026-07-01 00:03:00+00:00,1124.0,1124.0,1124.0,1124.0,1
2026-07-01 00:04:00+00:00,1143.0,1143.0,1143.0,1143.0,3
2026-07-01 00:04:00+00:00,1123.5,1123.5,1123.0,1123.0,9
2026-07-01 00:04:00+00:00,-20.0,-20.0,-20.0,-20.0,3
2026-07-01 00:06:00+00:00,1145.0,1145.0,1145.0,1145.0,7
2026-07-01 00:55:00+00:00,1143.5,1143.5,1143.5,1143.5,4
2026-07-01 01:08:00+00:00,1121.5,1121.5,1121.5,1121.5,4
2026-07-01 01:31:00+00:00,1125.0,1125.0,1125.0,1125.0,6
2026-07-01 01:32:00+00:00,1140.5,1140.5,1140.5,1140.5,2
2026-07-01 01:44:00+00:00,1125.0,1125.0,1125.0,1125.0,5
2026-07-01 01:48:00+00:00,1125.0,1125.0,1125.0,1125.0,2
2026-07-01 02:10:00+00:00,1126.5,1126.5,1126.5,1126.5,2
2026-07-01 02:10:00+00:00,1122.0,1122.0,1122.0,1122.0,2
2026-07-01 02:10:00+00:00,1141.5,1141.5,1141.5,1141.5,2
2026-07-01 02:11:00+00:00,1142.0,1142.0,1142.0,1142.0,2
2026-07-01 02:12:00+00:00,1123.0,1123.0,1123.0,1123.0,2
2026-07-01 02:24:00+00:00,1143.5,1143.5,1143.5,1143.5,1
2026-07-01 02:37:00+00:00,1126.0,1126.0,1126.0,1126.0,1
2026-07-01 02:47:00+00:00,1146.5,1146.5,1146.5,1146.5,2
2026-07-01 02:47:00+00:00,1131.5,1131.5,1131.5,1131.5,3
2026-07-01 02:48:00+00:00,1132.0,1132.0,1132.0,1132.0,6
2026-07-01 02:54:00+00:00,1127.5,1127.5,1127.5,1127.5,1
2026-07-01 02:58:00+00:00,1132.5,1132.5,1132.5,1132.5,2
2026-07-01 02:58:00+00:00,1147.5,1147.5,1147.5,1147.5,2
2026-07-01 02:58:00+00:00,1128.0,1128.0,1128.0,1128.0,2
2026-07-01 02:59:00+00:00,1128.0,1128.0,1128.0,1128.0,2
2026-07-01 03:00:00+00:00,1148.5,1148.5,1148.5,1148.5,2
2026-07-01 03:03:00+00:00,1148.0,1148.0,1148.0,1148.0,4
2026-07-01 03:03:00+00:00,-15.0,-15.0,-15.0,-15.0,1
2026-07-01 03:03:00+00:00,1163.0,1163.0,1163.0,1163.0,1
2026-07-01 03:07:00+00:00,1129.0,1129.0,1129.0,1129.0,2
2026-07-01 03:08:00+00:00,1129.0,1129.0,1129.0,1129.0,2
2026-07-01 03:08:00+00:00,-15.0,-15.0,-15.0,-15.0,1
2026-07-01 03:08:00+00:00,1133.5,1133.5,1133.5,1133.5,4
2026-07-01 03:08:00+00:00,1148.5,1148.5,1148.5,1148.5,1
2026-07-01 03:20:00+00:00,1134.0,1134.0,1134.0,1134.0,7
2026-07-01 03:24:00+00:00,1134.0,1134.0,1134.0,1134.0,2
2026-07-01 03:26:00+00:00,1134.0,1134.0,1134.0,1134.0,2
2026-07-01 03:44:00+00:00,1134.0,1134.0,1134.0,1134.0,2
2026-07-01 03:48:00+00:00,1134.0,1134.0,1134.0,1134.0,2
2026-07-01 04:10:00+00:00,1149.5,1149.5,1149.5,1149.5,1
2026-07-01 04:11:00+00:00,1129.5,1129.5,1129.5,1129.5,1
2026-07-01 04:39:00+00:00,1129.5,1129.5,1129.5,1129.5,1
2026-07-01 05:34:00+00:00,1149.5,1149.5,1149.5,1149.5,2
2026-07-01 05:40:00+00:00,1147.5,1147.5,1147.5,1147.5,2
2026-07-01 06:22:00+00:00,1135.0,1135.5,1135.0,1135.5,4
2026-07-01 06:30:00+00:00,1134.5,1134.5,1134.5,1134.5,2
2026-07-01 06:30:00+00:00,1130.0,1130.0,1130.0,1130.0,1
2026-07-01 06:31:00+00:00,1129.5,1129.5,1129.5,1129.5,1
2026-07-01 06:31:00+00:00,1134.0,1134.0,1134.0,1134.0,2
2026-07-01 06:33:00+00:00,1133.0,1133.0,1133.0,1133.0,2
2026-07-01 06:33:00+00:00,1148.0,1148.0,1148.0,1148.0,2
2026-07-01 06:34:00+00:00,1147.5,1147.5,1147.5,1147.5,2
2026-07-01 06:34:00+00:00,1132.5,1132.5,1132.5,1132.5,2
2026-07-01 07:06:00+00:00,1146.0,1146.0,1146.0,1146.0,2
2026-07-01 07:10:00+00:00,1146.0,1146.0,1146.0,1146.0,2
2026-07-01 07:24:00+00:00,1145.0,1145.0,1145.0,1145.0,1
2026-07-01 07:50:00+00:00,1126.5,1126.5,1126.5,1126.5,1
2026-07-01 07:53:00+00:00,1127.0,1127.0,1127.0,1127.0,2
2026-07-01 08:05:00+00:00,1131.0,1131.0,1131.0,1131.0,2
2026-07-01 08:06:00+00:00,1131.0,1131.0,1131.0,1131.0,1
2026-07-01 08:15:00+00:00,1145.5,1145.5,1145.5,1145.5,4
2026-07-01 08:15:00+00:00,1130.5,1130.5,1130.5,1130.5,4
2026-07-01 08:49:00+00:00,1126.0,1126.0,1126.0,1126.0,1
2026-07-01 08:57:00+00:00,1125.0,1125.0,1125.0,1125.0,1
2026-07-01 09:11:00+00:00,1129.0,1129.0,1129.0,1129.0,4
2026-07-01 09:11:00+00:00,1144.0,1144.0,1144.0,1144.0,3
2026-07-01 09:12:00+00:00,1144.0,1144.0,1143.5,1143.5,6
