ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2025-02-24 00:59:59.996896678+00:00,2025-02-24 00:59:59.996650239+00:00,24,1,42002404,,510.0,1,27537,11759,2,15,1,0,MZCN5
2025-02-24 00:59:59.998218329+00:00,2025-02-24 00:59:59.998066999+00:00,24,1,42002404,,510.0,3,27552,12118,2,15,1,0,MZCN5
2025-02-24 01:00:00.117353843+00:00,2025-02-24 01:00:00+00:00,24,1,42002404,,510.0,2147483647,27625,16517,5,15,1,0,MZCN5
2025-02-24 01:00:00.117353843+00:00,2025-02-24 01:00:00+00:00,24,1,42002404,,510.0,2147483647,27625,16517,4,15,1,0,MZCN5
2025-02-24 01:00:00.117353843+00:00,2025-02-24 01:00:00+00:00,24,1,42002404,,510.0,2147483647,27625,16517,1,15,1,0,MZCN5
2025-02-24 01:00:00.151431865+00:00,2025-02-24 01:00:00.003093217+00:00,24,1,42002404,,510.5,2147483647,27805,12236,7,15,1,0,MZCN5
2025-02-24 01:00:00.213428934+00:00,2025-02-24 01:00:00.151529647+00:00,24,1,42004112,,504.0,2147483647,29258,12019,8,15,1,0,MZCK5
2025-02-24 01:00:00.213484105+00:00,2025-02-24 01:00:00.151538633+00:00,24,1,42004112,,504.5,2147483647,29263,11792,7,15,1,0,MZCK5
2025-02-24 01:00:00.213549228+00:00,2025-02-24 01:00:00.151555143+00:00,24,1,42002404,,508.5,2147483647,29269,11711,8,15,1,0,MZCN5
2025-02-24 01:00:00.214867238+00:00,2025-02-24 01:00:00.151605675+00:00,24,1,42002404,,509.5,2147483647,29303,11676,7,15,1,0,MZCN5
2025-02-24 01:00:00.215955890+00:00,2025-02-24 01:00:00.151666557+00:00,24,1,42000353,,476.5,2147483647,29338,17724,8,15,1,0,MZCU5
2025-02-24 01:00:00.216383428+00:00,2025-02-24 01:00:00.151702017+00:00,24,1,42000353,,477.0,2147483647,29355,12089,7,15,1,0,MZCU5
2025-02-24 01:00:00.232677936+00:00,2025-02-24 01:00:00.154052073+00:00,24,1,42002404,,509.0,2147483647,29790,16247,7,15,1,0,MZCN5
2025-02-24 01:00:00.314916511+00:00,2025-02-24 01:00:00.205155567+00:00,24,1,42002404,,509.0,2147483647,31583,14853,4,15,1,0,MZCN5
2025-02-24 01:00:00.357408494+00:00,2025-02-24 01:00:00.262372027+00:00,24,1,42002404,,509.0,2147483647,33089,12379,8,15,1,0,MZCN5
2025-02-24 01:00:00.395017792+00:00,2025-02-24 01:00:00.309989675+00:00,24,1,42004112,,504.5,2147483647,34026,13579,8,15,1,0,MZCK5
2025-02-24 01:00:00.399501792+00:00,2025-02-24 01:00:00.315086945+00:00,24,1,42002404,,509.5,2147483647,34125,12494,8,15,1,0,MZCN5
2025-02-24 01:00:00.399516775+00:00,2025-02-24 01:00:00.315094701+00:00,24,1,42000353,,477.0,2147483647,34126,12140,8,15,1,0,MZCU5
2025-02-24 01:00:00.463235940+00:00,2025-02-24 01:00:00.400227995+00:00,24,1,42000353,,477.0,2147483647,35527,13959,5,15,1,0,MZCU5
2025-02-24 01:00:00.463235940+00:00,2025-02-24 01:00:00.400227995+00:00,24,1,42000353,,477.0,2147483647,35527,13959,4,15,1,0,MZCU5
2025-02-24 01:00:00.463235940+00:00,2025-02-24 01:00:00.400227995+00:00,24,1,42000353,,477.0,2147483647,35527,13959,1,15,1,0,MZCU5
2025-02-24 01:00:00.524069904+00:00,2025-02-24 01:00:00.469408715+00:00,24,1,42004112,,505.0,2147483647,36953,15273,8,15,1,0,MZCK5
2025-02-24 01:00:00.573226785+00:00,2025-02-24 01:00:00.524147777+00:00,24,1,42004112,,505.0,2147483647,38365,13185,5,15,1,0,MZCK5
