ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2026-07-01 00:15:29.876535980+00:00,2026-07-01 00:15:29.876238193+00:00,24,1,42244728,,0.6901,2147483647,35337495,10476,4,4,1,0,M6AU6
2026-07-01 00:15:31.131384671+00:00,2026-07-01 00:15:31.131093333+00:00,24,1,42244728,,0.6902,2147483647,35337559,12840,7,4,1,0,M6AU6
2026-07-01 00:15:59.828817828+00:00,2026-07-01 00:15:59.828415007+00:00,24,1,42054026,,0.6894,2147483647,35344488,11417,7,4,1,0,M6AZ6
2026-07-01 00:16:00.009142397+00:00,2026-07-01 00:16:00.008870275+00:00,24,1,42244728,,0.6901,2147483647,35345220,11969,7,4,1,0,M6AU6
2026-07-01 00:16:38.929615939+00:00,2026-07-01 00:16:38.929280255+00:00,24,1,42244728,,0.69,2147483647,35358164,11846,4,4,1,0,M6AU6
2026-07-01 00:18:08.755477261+00:00,2026-07-01 00:18:08.755317817+00:00,24,1,42054026,,0.6893,2147483647,35375933,11908,7,4,1,0,M6AZ6
2026-07-01 00:18:55.003559773+00:00,2026-07-01 00:18:55.003243901+00:00,24,1,42244728,,0.69,2147483647,35383609,11656,7,4,1,0,M6AU6
2026-07-01 00:22:04.903298977+00:00,2026-07-01 00:22:04.902812525+00:00,24,1,42054026,,0.6892,2147483647,35407901,13366,7,4,1,0,M6AZ6
2026-07-01 00:22:16.282639013+00:00,2026-07-01 00:22:16.282309990+00:00,24,1,42244728,,0.6899,2147483647,35410703,13697,4,4,1,0,M6AU6
2026-07-01 00:22:16.282639013+00:00,2026-07-01 00:22:16.282309990+00:00,24,1,42244728,,0.6899,2147483647,35410703,13697,7,4,1,0,M6AU6
2026-07-01 00:22:16.290258559+00:00,2026-07-01 00:22:16.290001080+00:00,24,1,42244728,,0.6898,2147483647,35410824,11889,4,4,1,0,M6AU6
2026-07-01 00:22:42.163986894+00:00,2026-07-01 00:22:42.163325915+00:00,24,1,42054026,,0.6891,2147483647,35414533,11461,7,4,1,0,M6AZ6
2026-07-01 00:23:17.765233557+00:00,2026-07-01 00:23:17.764883395+00:00,24,1,42244728,,0.6898,2147483647,35421066,14112,7,4,1,0,M6AU6
2026-07-01 00:26:42.438144331+00:00,2026-07-01 00:26:42.437523285+00:00,24,1,42054026,,0.689,2147483647,35454108,11566,7,4,1,0,M6AZ6
2026-07-01 00:26:52.421280755+00:00,2026-07-01 00:26:52.420646485+00:00,24,1,42244728,,0.6897,2147483647,35455348,15609,4,4,1,0,M6AU6
2026-07-01 00:26:52.421280755+00:00,2026-07-01 00:26:52.420646485+00:00,24,1,42244728,,0.6897,2147483647,35455348,15609,7,4,1,0,M6AU6
2026-07-01 00:26:52.497266811+00:00,2026-07-01 00:26:52.496914709+00:00,24,1,42244728,,0.6896,2147483647,35455690,11874,4,4,1,0,M6AU6
2026-07-01 00:41:16.827160054+00:00,2026-07-01 00:41:16.826791915+00:00,24,1,42054026,,0.6889,2147483647,35573911,11769,7,4,1,0,M6AZ6
2026-07-01 00:41:55.385242429+00:00,2026-07-01 00:41:55.385128213+00:00,24,1,42244728,,0.6896,2147483647,35579007,13638,7,4,1,0,M6AU6
2026-07-01 00:42:24.781755470+00:00,2026-07-01 00:42:24.781486943+00:00,24,1,42054026,,0.6888,2147483647,35582928,11897,7,4,1,0,M6AZ6
2026-07-01 00:43:48.316893030+00:00,2026-07-01 00:43:48.316795221+00:00,24,1,42244728,,0.6895,2147483647,35592043,11537,7,4,1,0,M6AU6
2026-07-01 00:44:54.914461964+00:00,2026-07-01 00:44:54.914183275+00:00,24,1,42244728,,0.6894,2147483647,35596929,11651,4,4,1,0,M6AU6
2026-07-01 00:45:08.479323598+00:00,2026-07-01 00:45:08.479169686+00:00,24,1,42054026,,0.6887,2147483647,35600009,11467,7,4,1,0,M6AZ6
2026-07-01 00:45:43.982299028+00:00,2026-07-01 00:45:43.981843827+00:00,24,1,42244728,,0.6894,2147483647,35603500,12784,7,4,1,0,M6AU6
2026-07-01 00:47:15.594824510+00:00,2026-07-01 00:47:15.594527353+00:00,24,1,42054026,,0.6886,2147483647,35616577,12465,7,4,1,0,M6AZ6
2026-07-01 00:47:42.020792122+00:00,2026-07-01 00:47:42.020296201+00:00,24,1,42244728,,0.6893,2147483647,35621662,20447,4,4,1,0,M6AU6
2026-07-01 00:48:25.046838613+00:00,2026-07-01 00:48:25.046692735+00:00,24,1,42244728,,0.6893,2147483647,35626839,11868,7,4,1,0,M6AU6
2026-07-01 00:48:29.398569241+00:00,2026-07-01 00:48:29.398347053+00:00,24,1,42054026,,0.6885,2147483647,35627773,12316,7,4,1,0,M6AZ6
2026-07-01 00:48:30.157281374+00:00,2026-07-01 00:48:30.156965893+00:00,24,1,42244728,,0.6892,2147483647,35627924,11531,4,4,1,0,M6AU6
