experiment_id,symbol,bars_used,trades,gross_pnl,final_equity,max_drawdown,notes
EXP-P09-0001,MCL,27,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0001,MZC,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0001,MZS,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0001,MZW,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0001,M6A,27,1,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0002,MCL,27,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0002,MZC,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0002,MZS,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0002,MZW,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0002,M6A,27,1,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0003,MCL,27,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0003,MZC,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0003,MZS,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0003,MZW,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0003,M6A,27,1,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0004,MCL,27,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0004,MZC,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0004,MZS,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0004,MZW,22,0,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
EXP-P09-0004,M6A,27,1,0.0,1000000.0,0.0,研究用の簡易バックテスト。コスト、ロール損益、Unit拡張は未反映。
