timestamp,open,high,low,close,volume,symbol
2025-02-24 01:00:00+00:00,1072.0,1072.0,1071.5,1071.5,200,MZSN5
2025-02-24 01:00:00+00:00,1070.0,1070.5,1070.0,1070.5,203,MZSQ5
2025-02-24 01:00:00+00:00,1056.5,1056.5,1056.0,1056.0,200,MZSK5
2025-02-24 01:01:00+00:00,1057.0,1057.0,1057.0,1057.0,50,MZSK5
2025-02-24 01:01:00+00:00,1071.0,1071.0,1071.0,1071.0,50,MZSQ5
2025-02-24 01:02:00+00:00,1071.0,1071.0,1071.0,1071.0,60,MZSQ5
2025-02-24 01:02:00+00:00,1073.0,1073.0,1073.0,1073.0,50,MZSN5
2025-02-24 01:02:00+00:00,1057.5,1057.5,1057.5,1057.5,150,MZSK5
2025-02-24 01:05:00+00:00,1072.0,1072.5,1072.0,1072.5,30,MZSQ5
2025-02-24 01:05:00+00:00,1074.0,1074.0,1074.0,1074.0,10,MZSN5
2025-02-24 01:06:00+00:00,1073.0,1073.0,1073.0,1073.0,10,MZSQ5
2025-02-24 01:06:00+00:00,1074.5,1074.5,1074.5,1074.5,10,MZSN5
2025-02-24 01:07:00+00:00,1058.5,1058.5,1058.5,1058.5,230,MZSK5
2025-02-24 01:07:00+00:00,1074.0,1074.0,1074.0,1074.0,181,MZSN5
2025-02-24 01:07:00+00:00,1072.5,1072.5,1072.5,1072.5,54,MZSQ5
2025-02-24 01:08:00+00:00,1074.5,1074.5,1074.5,1074.5,60,MZSN5
2025-02-24 01:08:00+00:00,1072.5,1072.5,1072.5,1072.5,60,MZSQ5
2025-02-24 01:09:00+00:00,1074.5,1074.5,1074.5,1074.5,10,MZSN5
2025-02-24 01:13:00+00:00,1075.0,1075.0,1075.0,1075.0,10,MZSN5
2025-02-24 01:14:00+00:00,1075.0,1075.0,1075.0,1075.0,10,MZSN5
2025-02-24 01:15:00+00:00,1074.5,1074.5,1074.5,1074.5,10,MZSN5
2025-02-24 01:16:00+00:00,1073.0,1073.0,1073.0,1073.0,10,MZSQ5
2025-02-24 01:16:00+00:00,1074.5,1074.5,1074.5,1074.5,10,MZSN5
2025-02-24 01:16:00+00:00,1059.0,1059.0,1059.0,1059.0,20,MZSK5
